Song,Avg Rank,Best Rank,Weeks on Chart
Best Friend,45.8,14,55
Best Friend's Brother,89.75,86,4
Best Friends,73.5,60,2
Best I Ever Had,83.8,75,5
Best Life,68.66666666666667,39,3
Best Love Song,54.9,33,20
Best Mistake,71.5,49,2
Best Part,85.3157894736842,75,19
Best Part Of Me,99.0,99,1
Best Shot,60.3,37,20
Best Song Ever,50.76190476190476,2,21
Best Thing I Never Had,41.2,16,20
Best Thing Since Backroads,87.25,72,4
Besties,96.0,96,1
Bet I,72.0,72,1
Beth,72.0,72,1
Betrayal,67.0,67,1
Betrayed,72.6842105263158,64,19
Better,36.265306122448976,8,49
Better Believe,88.0,88,1
Better Days,48.08,23,25
Better Dig Two,43.35,28,20
Better Man,52.5,34,20
Better Man (Taylor's Version) (From The Vault),51.0,51,1
Better Now,17.03846153846154,3,52
Better Place,78.66666666666667,25,6
Better Than Ever,99.0,99,1
Better Than I Know Myself,76.0,76,1
Better Than I Used To Be,66.25,52,20
Better Than Revenge,56.0,56,1
Better Than Revenge (Taylor's Version),28.0,28,1
Better Together,37.8,15,25
Better With The Lights Off,58.8421052631579,38,19
Betty,66.5,42,2
Betty (Get Money),49.94117647058823,30,17
Between The Raindrops,89.5,79,2
Beware,58.3,38,20
Bezerk,89.0,89,1
Bichiyal,89.0,89,1
Bichota,86.53846153846153,72,13
Bickenhead,55.5,43,2
Big 14,96.0,96,1
Big Bank,39.291666666666664,16,24
Big Boy Diamonds,100.0,100,1
Big Dawg,67.0,67,1
Big Dawgs,47.30769230769231,23,13
Big Difference,73.0,73,1
Big Energy,30.92156862745098,3,51
Big Foot,23.0,23,1
Big Gangsta,86.2,81,5
Big Mama,92.0,92,1
Big Night,79.0,79,1
Big Ole Freak,79.33333333333333,65,12
Big Paper,84.0,84,1
Big Purr (Prrdd),80.0,69,3
Big Rings,64.9,52,20
Big Shot,77.0,71,2
Big Stepper,98.0,98,1
Big Time,31.0,31,1
Big Truck,100.0,100,1
Big; Big Plans,67.1,42,20
Bigger > You,56.5,53,2
Bigger In Texas,84.0,84,1
Bigger Than Life,33.0,33,1
Bigger Than The Whole Sky,68.5,21,4
Biggest Alley Oop,86.0,86,1
Bill Gates,75.0,75,1
Billie Bossa Nova,70.0,70,1
Billie Eilish.,73.57142857142857,58,14
Billie Jean,14.0,14,1
Billionaire,22.642857142857142,4,28
Bills,87.33333333333333,79,6
Bills; Bills; Bills,61.5,44,2
Billy,62.5,50,8
Bionic,66.0,66,1
Bipolar,81.0,60,4
Birds Of A Feather,6.8076923076923075,2,26
Birthday,47.77777777777778,17,18
Birthday Cake,42.25,24,20
Birthday Song,63.55,47,20
Bitch Let's Do It,62.0,62,1
Bitch; Don't Kill My Vibe,60.57142857142857,32,21
Bitter,25.0,25,1
Bittersuite,81.0,73,2
Bittersweet,86.53846153846153,74,13
Black,77.35,56,20
Black And Yellow,23.6,1,25
Black Ball,93.0,93,1
Black Barbies,81.0,65,2
Black Beatles,19.037037037037038,1,27
Black Hearted,53.0,53,1
Black Horse And The Cherry Tree,90.0,90,1
Black Magic,76.5,67,8
Black Or White,64.0,64,1
Black Panther,91.0,91,1
Black Parade,54.0,37,2
Black Rain,96.0,96,1
Black Skinhead,86.0,69,4
Black SpiderMan,87.0,87,1
Black Summer,78.0,78,1
Black Swan,57.0,57,1
Black Widow,22.8,3,30
Blackbiird,58.5,27,2
Blackbird,37.0,37,1
Blackout,60.65,32,20
Blackstar,78.0,78,1
Blah Blah Blah,34.25,7,20
Blame,28.65,19,20
Blame It (On The Alcohol),55.0,55,1
Blame It On Me,70.0,47,2
Blame It On You,60.411764705882355,30,17
Blame On You,65.0,65,1
Blank Space,19.41025641025641,1,39
Blank Space (Taylor's Version),54.666666666666664,12,3
Blase,80.33333333333333,63,18
Blast Off,73.0,73,1
Blastoff,79.0,79,1
Bleed,77.0,57,2
Bleed Red,75.05555555555556,62,18
Blem,62.0,38,4
Blessed Up,97.0,97,1
Blessings,41.42857142857143,28,21
Blick Blick!,79.25,37,4
Blind,71.45,12,20
Blindfold,59.0,59,1
Blinding Lights,11.122222222222222,1,90
Blocklist,69.0,69,1
Blood All On It,98.0,98,1
Blood On My Jeans,61.75,12,4
Blood On The Leaves,90.0,89,2
Blood.,54.0,54,1
Bloodline,56.0,22,3
Bloody Canvas,97.0,97,1
Bloody Mary,54.611111111111114,41,18
Bloody Valentine,79.5,50,4
Blow,29.85185185185185,7,27
Blow A Bag,95.0,95,1
Blow For Blow,88.0,88,1
Blow Me (One Last Kiss),19.62962962962963,5,27
Blow Your Mind (Mwah),72.0,72,1
Blown Away,39.40909090909091,20,22
Blue,62.25,47,4
Blue & Grey,13.0,13,1
Blue Ain't Your Color,37.42857142857143,24,21
Blue Christmas,44.11764705882353,18,17
Blue Green Red,63.0,63,1
Blue Note$ II,79.5,72,2
Blue Notes,93.0,93,1
Blue On Black,66.0,66,1
Blue Tacoma,71.89473684210526,52,19
Blue Tint,55.0,30,3
Blue World,58.0,38,2
Blueberry Faygo,26.303030303030305,8,33
Bluebird,52.2,26,20
Bluffin,100.0,100,1
Blunt Blowin,71.83333333333333,33,6
Blurred Lines,20.791666666666668,1,48
Bo$$,77.86666666666666,43,15
Boa,39.0,39,1
Bobby Bitch,94.0,92,3
Bodak Yellow (Money Moves),16.205882352941178,1,34
Body,62.02127659574468,12,47
Body 2 Body,82.53846153846153,65,13
