Song,Avg Rank,Best Rank,Weeks on Chart
Lo Mejor De Mi Vida Eres Tu,87.0,74,2
Lo Siento BB:/,73.75,51,4
Lo Vas A Olvidar,62.0,62,1
Loca,80.18181818181819,32,11
Location,33.906976744186046,16,43
Lock It Up,89.0,89,1
Lock On Me,72.0,72,1
Locked Away,25.666666666666668,6,27
Locked Out Of Heaven,15.277777777777779,1,36
Lockjaw,87.61538461538461,73,13
Loco,90.5,80,4
Loco Contigo,95.5,95,2
Logical,59.0,20,3
Lokera,99.0,99,1
Lolly,71.25,19,4
London,62.0,62,1
London Boy,62.0,62,1
Lonely,30.681818181818183,12,22
Lonely Boy,80.75,64,20
Lonely Child,66.28571428571429,44,7
Lonely Eyes,68.61111111111111,50,18
Lonely If You Are,94.0,91,6
Lonely Road,68.875,33,16
Lonely Tonight,61.05882352941177,47,17
Lonesome Broken And Blue,73.0,73,1
Long Hot Summer,63.94444444444444,45,18
Long Journey,70.0,39,3
Long Live,65.89473684210526,45,19
Long Live (Taylor's Version),53.0,53,1
Long Live A$AP,86.0,86,1
Long RD,85.0,85,1
Long Story Short,68.0,68,1
Look Alive,28.516129032258064,5,31
Look At Her Now.,67.0,27,4
Look At Me Now,18.25925925925926,6,27
Look At Me!,56.5,34,20
Look At My Dab,87.0,87,1
Look At You,83.5,73,14
Look Back At It,42.32258064516129,27,31
Look It Up,95.0,95,1
Look What God Gave Her,55.45,32,20
Look What You Made Me Do,32.05263157894737,1,19
Lookin' For That Girl,89.5,85,4
Looove,49.0,49,1
Loose Change,52.0,52,1
Lord Above,97.0,97,1
Lord I Need You,70.0,70,1
Lord Knows,92.0,88,2
Los Pits,61.0,61,1
Lose,86.0,86,1
Lose Control,23.62121212121212,1,66
Lose It,68.9047619047619,28,21
Lose My Breath,90.0,90,1
Lose My Mind,61.91428571428571,35,35
Lose Somebody,88.0,88,1
Lose You,64.0,64,1
Lose You To Love Me,15.08695652173913,1,23
Lose Yourself,40.0,40,1
Loser,93.0,93,1
Loser Like Me,46.0,6,3
Losers,60.5,25,6
Losin Control,78.10526315789474,62,19
Losing My Religion,67.66666666666667,54,3
Losing Sleep,73.26315789473684,60,19
Losses,51.0,51,1
Lost,63.666666666666664,38,3
Lost Boy,45.13636363636363,24,22
Lost Cause,70.0,27,4
Lost Forever,46.0,46,1
Lost In Japan,68.875,48,16
Lost In Love,87.0,87,1
Lost In Paradise,99.0,99,1
Lost In The Citadel,90.0,90,1
Lost In The Echo,95.0,95,1
Lost In The Fire,45.0,27,6
Lost My Dog,83.0,83,1
Lost Soul Survivor,75.0,75,1
Lost Stars,83.0,83,1
Lost Without U,63.0,63,1
Lottery,83.0,83,1
Lotus,45.0,45,1
Lotus Flower Bomb,56.1,38,20
Loud,71.5,53,2
Love,58.5,44,2
Love Again,64.39285714285714,40,28
Love Ain't,78.0,50,18
Love All,57.6,10,5
Love All Over Me,74.76470588235294,58,17
Love And War,78.9,57,20
Love Don't Die,72.66666666666667,60,9
Love Don't Run,89.14285714285714,78,7
Love Done Gone,71.06666666666666,58,15
Love Drought,60.0,47,2
Love Faces,77.875,63,16
Love For A Thug,56.0,56,1
Love Galore,46.45,32,20
Love In The Way,93.0,93,1
Love Is A Game,56.0,56,1
Love Is An Open Door,78.75,49,4
Love Is Embarrassing,63.333333333333336,25,3
Love Is Your Name,75.0,75,1
Love King,96.0,92,3
Love Language,65.45454545454545,21,11
Love Lies,31.80392156862745,9,51
Love Like Crazy,59.75,45,20
Love Like Woe,49.285714285714285,27,21
Love Lost,91.0,91,1
Love Make The World Go Round,72.0,72,1
Love Me,30.4,9,25
Love Me Again,55.78947368421053,30,19
Love Me Anyway,96.0,96,1
Love Me Harder,22.818181818181817,7,22
Love Me Like You Do,18.735294117647058,3,34
Love Me Like You Mean It,69.55555555555556,45,18
Love Me More,86.41666666666667,73,12
Love Me Now,47.78947368421053,23,19
Love More,40.61538461538461,23,26
Love Myself,53.0625,30,16
Love Never Felt So Good,51.15,9,20
Love Nwantiti (Ah Ah Ah),38.758620689655174,26,29
Love Of My Life,55.0,29,2
Love On,56.0,56,1
Love On The Brain,28.451612903225808,5,31
Love On The Weekend,72.0,53,2
Love On Top,68.6,20,20
Love Runs Out,34.65,15,20
Love Scars 3,73.0,73,1
Love So Soft,65.3076923076923,47,13
Love Somebody,20.46153846153846,1,26
Love Someone,79.1,52,20
Love Sosa,77.85714285714286,56,14
Love Story (Taylor's Version),31.5,11,2
Love Story/Interlude,79.0,79,1
Love The Way You Lie,14.689655172413794,1,29
Love This Life,81.0,81,1
Love This Pain,93.0,93,1
Love To Lay,71.0,71,1
Love Train,90.0,90,1
Love Wins,90.7,83,10
Love You Again,91.0,91,1
Love You Anyway,43.03030303030303,15,33
Love You Better,77.46666666666667,12,15
Love You Different,84.0,84,1
Love You Like A Love Song,43.39473684210526,22,38
Love You Like I Used To,58.85,31,20
Love You Like That,70.1,46,20
Love You Too Late,71.85714285714286,49,14
Love You; Miss You; Mean It,73.6,39,10
Love Yourself,13.707317073170731,1,41
Love's Gonna Make It Alright,84.0,61,11
Love.,42.82051282051282,12,39
Love/Hate Letter To Alcohol,70.0,70,1
LoveHate Thing,93.75,89,8
Loved By You,87.0,87,1
Loveeeeeee Song,72.7,55,20
Lovely,82.04545454545455,64,22
Lover,36.18181818181818,10,22
Lover Of The Light,97.0,97,1
Lover's Eyes,89.5,85,2
Lover; Lover,53.3,29,20
Lovesick Girls,59.0,59,1
Lovin On Me,12.783783783783784,1,37
Lovin' On You,51.3,23,20
Lovin' You Is Fun,76.25,57,20
Loving You Easy,65.29411764705883,40,17
Loving You No More,91.0,91,2
Low,60.125,17,16
Low Down,68.76923076923077,50,13
Low Life,35.25714285714286,18,35
Loyal,35.717948717948715,9,39
Loyalty.,50.73076923076923,14,26
Lucid Dreams,17.0625,2,48
Lucifer,37.0,37,1
Lucky,57.5,27,2
Lucky You,63.5,6,14
Lullaby,89.0,89,1
Lumberjack,69.0,45,2
Luna,67.0,30,5
Lunch,46.31578947368421,10,19
Lush Life,90.66666666666667,75,3
Lust,91.5,87,4
Lust For Life,64.0,64,1
Lust.,58.5,42,2
Luv,38.81818181818182,19,22
Luv Bad Bitches,73.0,73,1
Lying,70.0,70,1
M-E-X-I-C-O,83.0,83,1
M.I.L.F. $,66.66666666666667,34,3
M3tamorphosis,99.0,99,1
MAMA,69.0,43,4
MAMIII,32.9,15,20
ME!,36.05,2,20
MEGATRON,80.2,20,5
MIA,24.814814814814813,5,27
MIC Drop,73.11111111111111,28,9
MJ,68.0,68,1
MOTW,84.0,84,1
MP5,86.0,86,1
Mac 10,76.5,64,2
Mad Stalkers,99.0,99,1
Mad Woman,47.0,47,1
Made For Me,42.142857142857146,20,21
Made For Now,88.0,88,1
Made For You,65.45,32,20
Made In America,61.2,40,20
Made In The USA,84.5,80,2
Made Me,95.33333333333333,93,3
Made My Hoe Faint,85.0,85,1
Made You Look,36.666666666666664,11,21
Madiba Riddim,67.5,51,2
Madness,65.86206896551724,45,29
Mafia,26.0,26,1
Magic,53.674418604651166,10,43
Magic Don Juan (Princess Diana),60.0,27,2
Magnetic,91.0,91,1
Magnolia,44.85,29,20
Mahogany,61.0,61,1
Main Chick,75.6,60,20
Majesty,58.0,58,1
Major Distribution,53.42857142857143,3,7
Major Minus,92.0,92,1
Major Tom,97.0,97,1
Make A Movie,85.42857142857143,71,14
Make A Wave,84.0,84,1
Make It Back,92.0,92,1
Make It Nasty,92.0,91,2
Make It Rain,77.25,34,12
Make It Right,85.5,76,2
Make It Sweet,80.6,56,20
Make Love,78.0,78,1
Make Me (Cry),60.266666666666666,46,15
Make Me Feel,99.0,99,1
Make Me Like You,79.8,54,5
Make Me Proud,37.3,9,20
Make Me Wanna,70.8,43,20
Make Me Want To,69.6,49,10
Make Me...,46.0,17,9
Make No Sense,81.05,57,20
Make Up,71.5,48,2
Make Up Sex,69.5,59,2
Make You Feel My Love,84.0,84,1
Make You Miss Me,64.84210526315789,45,19
Making The Bed,58.0,19,3
Maldita Pobreza,87.0,87,1
Malibu,38.5625,10,16
Mama Mia,87.0,87,1
Mama Said,61.45454545454545,36,11
Mama's Broken Heart,48.35,20,20
Mama's Song,66.61111111111111,56,18
Mama; I'm Sorry,65.0,65,1
Mamacita,73.45454545454545,62,11
Mamaw's House,75.26666666666667,55,15
Mamushi,55.55,36,20
Man Down,71.0,59,14
Man In The Mirror,67.66666666666667,45,3
Man Made A Bar,59.9,15,30
Man Of My Word,60.0,60,1
Man Of The Woods,73.0,73,1
Man Of The Year,74.13333333333334,51,15
Manana Sera Bonito,98.0,98,1
Manifesto,84.0,84,1
Manslaughter,82.0,82,1
Mantra,98.5,98,2
Many Men,63.5,33,2
Maps,15.954545454545455,6,22
March 14,57.0,57,1
Marcy Me,90.0,90,1
Margaritaville,38.0,38,1
Marijuana,54.0,54,1
Marjorie,75.0,75,1
Mark My Words,68.0,42,4
Marni On Me,64.0,64,1
Maroon,44.857142857142854,3,7
Marry Me,51.25,26,56
Marry The Night,54.583333333333336,29,12
Marry You,83.9090909090909,32,11
Marsh,83.0,83,1
Martians Vs Goblins,100.0,100,1
Martin & Gina,80.10526315789474,61,19
Marvin & Chardonnay,52.95,32,20
Marvin Gaye,43.0,21,20
Marvins Room,54.55555555555556,21,18
Mary Did You Know,24.0,24,1
Mary On A Cross,91.0,90,2
Mary; Did You Know?,48.857142857142854,26,7
Mask Off,20.129032258064516,5,31
Massa,66.0,66,1
Massaging Me,53.5,20,2
Massive,60.57142857142857,14,7
Master Of Puppets,41.666666666666664,35,3
Mastermind,54.0,13,5
Masterpiece,77.11764705882354,55,17
Mathematical Disrespect,73.25,47,4
Matilda,52.0,9,4
Matt Hardy 999,74.5,49,2
May We All,51.25,30,20
Maybach,83.77777777777777,68,9
Maybe,74.6470588235294,56,17
Maybe It Was Memphis,92.5,92,2
Maybe It's Time,93.0,93,1
Mayores,88.6470588235294,74,17
Maze,65.0,65,1
Me (FWM),89.0,89,1
Me + All Your Reasons,77.0,51,3
Me Against The Music,56.0,56,1
Me And My Broken Heart,36.8,14,20
Me And My Guitar,77.5,58,2
Me And Your Mama,68.5,68,2
Me Enamore,91.5,83,2
Me Fui de Vacaciones,78.0,59,2
Me Gusta,91.0,91,1
Me Niego,85.66666666666667,77,3
Me Or Sum,73.55,58,20
Me Porto Bonito,13.307692307692308,6,26
Me To Me,71.0,71,1
Me Too,31.45,13,20
Me Vs Me,92.5,88,2
Me; Myself & I,29.135135135135137,7,37
Mean,46.2,11,20
Mean (Taylor's Version),39.0,39,1
Mean To Me,74.6,53,20
Meant To Be,19.568627450980394,2,51
Meanwhile Back At Mama's,67.73684210526316,41,19
Mechanical Bull,73.0,73,1
Medical,67.0,67,1
Medicine,73.4,45,20
Meet Me At Our Spot,42.61538461538461,21,26
Meet Me Halfway,30.1,11,10
Meet The Grahams,42.666666666666664,12,3
MegaMan,52.0,52,1
Megan's Piano,98.0,97,2
Mejor Que Yo,83.0,83,1
Mele Kalikimaka (Merry Christmas),36.0,36,1
Meltdown,51.1578947368421,3,19
Members Only,66.66666666666667,24,3
Memories,30.47457627118644,2,59
Memories Back Then,93.0,88,2
Memory,67.16666666666667,50,18
Memory I Don't Mess With,66.63157894736842,33,19
Memory Lane,62.75,27,20
Memphis; The Blues,83.0,83,1
Mercedes,98.0,98,1
Mercedes Carota,57.0,57,1
Mercy,38.88235294117647,13,85
Merry Christmas,56.0,42,7
Merry Go 'round,72.2,63,15
Mess,74.0,74,1
Message In A Bottle (Taylor's Version) (From The Vault),73.15384615384616,45,13
Messin' Around,78.375,64,8
Met Gala,83.33333333333333,70,3
Met Him Last Night,77.0,61,2
Metro Spider,67.0,43,2
Mi Ex Tenia Razon,70.125,22,16
Mi Gente,23.551724137931036,3,29
Middle,45.142857142857146,20,21
Middle Child,20.857142857142858,4,28
Middle Of A Memory,66.0,46,20
Middle Of The Ocean,60.333333333333336,15,3
Midnight,63.0,29,4
Midnight City,79.75,72,20
Midnight Memories,57.333333333333336,12,3
Midnight Rain,47.875,5,8
Midnight Sky,54.65,14,20
Mientras Me Curo del Cora,68.0,68,1
Might Be,82.4,78,10
Might Not,81.82352941176471,68,17
Might Not Give Up,66.0,66,1
Mike,94.0,94,1
Miles On It,23.0,15,28
Millidelphia,73.0,73,1
Million Dollar Baby,10.620689655172415,2,29
Million Dollar Play,67.0,67,1
Million Reasons,55.25,4,20
Millionaire,71.11764705882354,47,17
Mind Of Melvin,78.0,78,1
Mind On You,78.5,62,4
Mind Reader,75.0,57,16
Mine,25.593220338983052,3,59
Mine (Taylor's Version),48.0,15,2
Mine Would Be You,52.8,28,20
Minimum Wage,81.0,67,12
Mirror,72.94444444444444,16,18
Mirrorball,59.5,26,2
Mirrors,22.0,2,42
Misery,29.142857142857142,14,21
Miss Americana & The Heartbreak Prince,49.0,49,1
Miss Jackson,68.0,68,1
Miss Me,54.75,15,20
Miss Me More,69.15,47,20
Miss Movin' On,87.36363636363636,76,11
Miss The Rage,74.0,11,11
Miss You,93.11111111111111,84,9
Misses,99.5,99,2
Missin' You Like This,63.0,63,1
Mistletoe,49.15384615384615,11,13
Mixed Personalities,65.88888888888889,42,18
Mmhmm,78.25,63,20
Mmm Yeah,66.0,49,15
Mo Bamba,26.785714285714285,6,28
Mob Ties,61.125,13,8
Mockingbird,98.5,95,4
Modern Day,61.0,61,1
Modern Jam,47.0,23,2
Mojabi Ghost,83.33333333333333,57,3
Molly,85.66666666666667,66,12
Moment 4 Life,31.130434782608695,13,23
Momma I Hit A Lick,100.0,100,1
Momma's House,73.46666666666667,59,15
Mona Lisa,63.9,2,10
Monaco,54.35,5,20
Money,29.428571428571427,13,28
Money Bag,72.5,58,2
Money In The Grave,18.73913043478261,7,23
Money Longer,69.22727272727273,54,22
Money On Me,72.0,72,1
Money On The Dresser,78.0,78,1
Money On You,66.0,66,1
Money Over Fallouts,97.0,97,1
Money So Big,97.75,95,4
Money Spread,89.0,89,1
Money To Blow,49.22222222222222,33,9
Monopoly,69.5,69,2
Monotonia,75.0,65,3
Monster,70.35483870967742,8,31
Monster Mash,38.0,30,4
Monsters,72.23529411764706,55,17
Montero (Call Me By Your Name),14.285714285714286,1,35
Mood,15.634615384615385,1,52
Mood 4 Eva,90.0,90,1
Mood Swings,40.38095238095238,17,21
Moolah,90.88888888888889,85,9
Moon,60.2,17,5
Moon Relate,62.0,62,1
Moonlight,68.9375,13,32
Moonlight Sunrise,84.0,84,1
Moonwalking In Calabasas,88.63636363636364,81,11
Mop,65.5,45,2
Moral Of The Story,83.66666666666667,71,3
More,37.69565217391305,15,23
More Girls Like You,85.16666666666667,66,12
More Hearts Than Mine,64.0,30,20
More M's,62.333333333333336,18,3
More Surprised Than Me,66.0,66,1
More Than Miles,84.52631578947368,73,19
More Than My Hometown,47.71875,15,32
More Time,80.0,80,1
Moscow Mule,25.652173913043477,4,23
MoshPit,58.0,58,1
Most Girls,77.3125,58,16
Most People Are Good,66.11111111111111,43,18
Moth To A Flame,77.625,27,8
Mother I Sober,59.0,59,1
Mother's Daughter,76.33333333333333,54,3
Motiv8,43.0,15,2
Motivation,36.97142857142857,17,35
Motive,56.0,32,2
Motley Crew,50.77777777777778,13,9
MotorSport,19.428571428571427,6,21
Mourning,61.0,36,13
Move,67.73333333333333,50,15
Move That Body,54.0,54,1
Move That Doh,65.88888888888889,46,18
Move Ya Hips,59.0,19,2
Moved To Miami,85.0,85,1
Moves,70.42105263157895,38,19
Moves Like Jagger,20.244897959183675,1,49
Moves Like Jagger / Jumpin' Jack Flash,62.0,62,1
Moving To Mars,90.0,90,1
Mr Pot Scraper,93.0,93,1
Mr. Jones,71.0,71,1
Mr. Know It All,26.26086956521739,10,23
Mr. Misunderstood,86.4,84,5
Mr. Morale,40.0,40,1
Mr. October,50.5,28,2
Mr. Perfectly Fine (Taylor's Version) (From The Vault),70.0,30,3
Mr. Rager,77.0,77,1
Mr. Right Now,60.388888888888886,10,18
Mr. Saxobeat,42.0,21,20
Mr. Solo Dolo III,78.0,78,1
Mr. Take Ya B*tch,96.0,96,1
Mr. Wrong,93.55555555555556,87,9
Mrs. Right,82.5,72,10
Murder On My Mind,42.6,14,20
Murder On The Dancefloor,66.91666666666667,51,12
Music Box,82.0,82,1
Music For A Sushi Restaurant,70.66666666666667,8,18
Must've Never Met You,81.0,81,1
Mutha***** Up,74.0,74,1
My Affection,86.0,86,1
My Baby's Got A Smile On Her Face,34.0,34,1
My Baby's Guns N' Roses,87.0,87,1
My Bad,77.0,55,3
My Best Days Are Ahead Of Me,82.0,82,1
My Blood,81.0,81,1
My Body,65.0,65,1
My Boo,35.0,27,5
My Boy,72.47368421052632,28,19
My Boy Only Breaks His Favorite Toys,45.285714285714285,6,7
My Chick Bad,29.2,11,20
My Choppa Hate N****s,83.5,73,2
My Church,61.1,50,20
My City Of Ruins (Live From The Kennedy Center Honors),92.0,92,1
My Dawg,80.28571428571429,56,7
My Ex's Best Friend,44.75,20,52
My Eyes,72.51724137931035,19,29
My First Kiss,35.27777777777778,9,18
My Future,59.285714285714285,6,7
My Girl,66.25,39,20
My Hair,65.0,65,1
My Head And My Heart,62.0,45,12
My Hitta,27.035714285714285,19,28
My Homies Still,82.0,38,13
My House,28.1,4,40
My Kinda Party,51.85,39,20
My Kink Is Karma,91.6,81,5
My Last,52.476190476190474,30,21
My Life,68.66666666666667,27,3
My Little Love,45.0,23,2
My Love Mine All Mine,47.75,26,20
My Man,94.0,94,1
My Mind & Me,83.0,83,1
My Moment,96.0,89,7
My My My!,80.0,80,1
My Oh My,31.0,12,27
My Old Man,85.25,68,4
My PYT,69.33333333333333,54,15
My Rose,54.0,54,1
My Sh*t,93.83333333333333,86,12
My Songs Know What You Did In The Dark (Light Em Up),27.46153846153846,13,26
My Story,89.0,89,1
My Strange Addiction,74.25,43,4
My Tears Ricochet,42.5,16,2
My Time,87.0,84,2
My Truck,94.5,92,2
My Type,39.5,21,20
My Universe,45.88235294117647,1,17
My Way,32.09375,7,32
My Window,62.0,35,2
Myron,64.42857142857143,13,7
Myself,52.0,52,1
N 2 Deep,48.0,12,4
N.H.I.E.,57.75,19,4
N95,48.166666666666664,3,6
NASA,43.666666666666664,17,3
NASTY,73.0,50,2
NBAYoungboat,78.25,63,4
NC-17,41.0,41,1
NDA,67.4,39,5
Na Na,40.214285714285715,21,28
Na Na Na (Na Na Na Na Na Na Na Na Na),77.0,77,1
Nadie Sabe,22.0,22,1
Nail Tech,57.75,18,12
Nakamura,71.0,71,1
Naked,99.0,99,1
Narcos,78.46666666666667,36,15
Nasty,73.27586206896552,41,29
Nasty Freestyle,28.25,9,20
Nasty Girl / On Camera,78.0,78,1
Natural,27.11111111111111,13,27
Naturally,41.095238095238095,29,21
Neck & Wrist,86.5,76,2
Neck On A Yacht,66.0,66,1
Nee-nah,63.3,10,10
Need A Favor,32.5531914893617,13,47
Need It,79.93333333333334,62,15
Need Me,97.5,95,2
Need To Know,21.458333333333332,8,48
Need You Now,20.232558139534884,2,43
Needed Me,28.57777777777778,7,45
Needle,67.75,34,4
Needy,53.5,14,4
Negative Energy,89.0,89,1
Neighborhood Superstar,89.0,89,1
Neighbors,69.46153846153847,13,13
Neighbors Know My Name,67.5,43,20
Nel,80.5,70,14
Neon,95.5,92,4
Neon Eyes,63.0,63,1
Neon Guts,86.5,79,2
Neon Light,66.6,43,20
Neon Lights,51.95,36,20
Neon Moon,97.0,97,1
Neon Star (Country Boy Lullaby),70.33333333333333,48,3
Neutron Star Collision (Love Is Forever),77.0,77,1
Neva End,75.6,52,20
Neva Play,57.5,36,2
Nevada,83.25,58,4
Never Again,62.0,62,1
Never Be Like You,43.30769230769231,20,26
Never Be The Same,29.54054054054054,6,37
Never Enough,96.0,88,5
Never Felt So Alone,84.8,62,5
Never Forget You,27.0,13,23
Never Get Over Me,48.0,48,1
Never Going Back Again,81.0,81,1
Never Gonna Be Alone,70.0,58,9
Never Gonna Leave This Bed,70.72222222222223,55,18
Never Gonna Not Dance Again,99.0,99,2
Never Grow Up,84.0,84,1
Never Grow Up (Taylor's Version),58.0,58,1
Never Hating,57.0,19,3
Never Imagined,59.0,59,1
Never Left,73.5,56,2
Never Let Go,97.0,97,1
Never Let You Go,57.5,21,2
Never Lose Me,36.666666666666664,15,21
Never Love You Again,78.0,78,1
Never Mind,54.0,54,1
Never Really Over,38.30769230769231,15,13
Never Recover,56.625,15,8
Never Say Never,58.12820512820513,8,39
Never Sleep,71.0,50,3
Never Stop,65.0,65,1
Never Wanted To Be That Girl,80.65,63,20
Neverita,75.64285714285714,31,14
Nevermind,93.0,86,4
New Again,68.0,68,1
New Americana,85.17647058823529,60,17
New Day,79.0,79,1
New Drop,91.16666666666667,81,6
New Flame,43.81818181818182,27,22
New Freezer,59.21052631578947,41,19
New God Flow,89.0,89,1
New Level,95.66666666666667,90,3
New Magic Wand,70.0,70,1
New Man,72.0,72,1
New Morning,100.0,100,1
New N3on,92.0,92,1
New Patek,62.57142857142857,24,7
New Romantics,65.25,46,8
New Romantics (Taylor's Version),60.5,29,2
New Rules,31.659574468085108,6,47
New Slaves,73.0,56,2
New To Country,94.0,94,1
New Truck,78.66666666666667,61,9
New Woman,97.0,97,1
Next Girl,94.5,86,4
Next Thing You Know,50.61290322580645,23,31
Next To Me,49.5,25,20
Next To You,70.0,26,3
Ni**as in Paris,29.305555555555557,5,36
Niagara Falls (Foot Or 2),75.33333333333333,27,6
Nice,95.0,95,1
Nice For What,10.0,1,25
Nice Guy,65.0,65,1
Nice To Meet Ya,82.66666666666667,63,15
Nico And The Niners,87.0,79,2
Night Changes,46.85,31,20
Night Falls,84.0,84,1
Night Of Your Life,81.0,81,1
Night Shift,80.8125,56,16
Night Train,51.8,26,20
Night's On Fire,90.6,81,5
Nightmare,59.53333333333333,15,15
Nightmares Of The Bottom,90.0,90,1
Nights,98.0,98,1
Nights Like This,70.2,47,30
Nikes,79.0,79,1
Nine Ball,54.0,54,1
No,32.05,3,20
No Auto,76.0,76,1
No BS,82.33333333333333,62,18
No Body; No Crime,65.5,34,2
No Brainer,30.8,5,15
No Bystanders,55.0,31,2
No Caller ID,73.0,58,2
No Cap,62.0,62,1
No Child Left Behind,53.0,53,1
No Church In The Wild,90.4,72,5
No Complaints,89.0,71,5
No Deal,71.0,71,1
No Dribble,92.0,92,1
No Excuses,60.75,46,12
No Face,70.0,60,3
No Favors,60.666666666666664,22,3
No Fear,100.0,100,1
No Flex Zone,57.0,36,20
No Flockin,95.0,95,1
No Fly Zone,80.0,80,1
No Frauds,74.14285714285714,14,7
No Friends In The Industry,56.125,11,8
No Guidance,17.08695652173913,5,46
No Hands,28.4375,13,32
No Heart,63.94736842105263,43,19
No Hurry,69.1875,50,16
No Idea,65.72727272727273,43,11
No Interviews,64.33333333333333,30,3
No Judgement,97.0,97,1
No Lie,39.96153846153846,24,26
No Limit,38.25,5,48
No Long Talk,58.0,40,2
No Longer Friends,98.0,98,1
No Love,68.8103448275862,13,58
No Me Conoce,82.78571428571429,71,14
No Me Quiero Casar,65.0,65,1
No Mediocre,50.55,33,20
No Mistakes,36.0,36,1
No Money,94.0,88,5
No More,79.0,79,1
No More Parties,51.1,26,20
No More Talk,77.0,77,1
No Name,82.0,82,1
No New Friends (SFTB Remix),59.31578947368421,37,19
No One Noticed,73.75,22,8
No Opp Left Behind,71.0,71,1
No Pole,88.25,77,4
No Pressure,76.75,49,4
No Problem,75.88461538461539,43,26
No Promises,62.12,38,25
No Regrets,84.0,84,1
No Return,49.0,26,2
No Role Modelz,56.52,36,25
No Roots,93.33333333333333,84,3
No Se Va,76.15,57,20
No Secret,78.0,78,1
No Sense,74.0,54,3
No Shopping,78.0909090909091,36,11
No Sleeep,65.0,63,2
No Sleep,71.26666666666667,6,15
No Sleep Leak,90.0,90,1
No Smoke,78.29411764705883,61,17
No Stylist,73.45,47,20
No Such Thing As A Broken Heart,69.3157894736842,46,19
No Sucker,58.0,58,1
No Switch,70.5,58,2
No Tears Left To Cry,17.48148148148148,3,27
No Tellin',90.5,81,2
No Time To Die,55.333333333333336,16,3
No Time Wasted,69.0,69,1
No Type,32.0,16,26
No Weakness,99.0,99,1
No Where,70.0,40,2
No Worries,55.81818181818182,29,22
Nobody,73.70588235294117,50,17
Nobody But You,43.88,18,25
Nobody Else But You,96.0,92,3
Nobody Gets Me,48.529411764705884,10,17
Nobody Knows My Struggle,100.0,100,1
Nobody Like U,61.8,49,5
Nobody Love,73.9090909090909,60,11
Nobody To Blame,79.33333333333333,68,15
Nobody's Love,55.3,41,10
Nobody's Perfect,77.89473684210526,61,19
Noid,47.8,10,5
Noise,84.5,72,14
None Of Your Concern,79.0,55,3
Nonsense,68.78947368421052,56,19
Nonstop,22.272727272727273,2,22
Normal,39.0,39,1
Northern Attitude,83.91666666666667,37,12
Northern Thunder,93.0,93,1
Nosedive,70.5,50,2
Nostalgia,63.0,40,2
Not A Bad Thing,23.272727272727273,8,22
Not Afraid,14.6,1,25
Not Afraid Anymore,77.0,77,1
Not Alike,60.666666666666664,24,3
Not Enough,80.0,80,1
Not Finished,48.5,26,2
Not For Long,93.55555555555556,80,9
Not In The Mood,61.0,61,1
Not Like The Movies,53.0,53,1
Not Like Us,7.678571428571429,1,28
Not Myself Tonight,57.875,23,8
Not Nice,87.0,82,7
Not Over You,41.4,18,35
Not Ready To Die,70.0,70,1
Not Sober,70.0,41,3
Not You Too,25.0,25,1
Nothin' Like You,74.21052631578948,51,19
Nothin' On You,18.178571428571427,1,28
Nothing,55.25,32,20
Nothing Breaks Like A Heart,60.61538461538461,43,13
Nothing But Trouble (Instagram Models),89.71428571428571,86,7
Nothing Is Promised,75.0,75,1
Nothing Like Us,77.0,59,2
Nothing New (Taylor's Version) (From The Vault),43.0,43,1
Nothing Without Love,86.75,77,4
Nothing Without You,68.0,68,1
Nothings Into Somethings,80.0,61,2
Notice Me,75.875,44,8
Noticed,91.0,80,10
Novacandy,90.0,90,1
Novacane,87.75,82,4
Now & Forever,95.0,95,1
Now & Later,93.0,93,1
Now And Then,41.5,7,2
Now Or Never,30.0,17,20
Now That We Don't Talk (Taylor's Version) [From The Vault],54.375,2,8
Nowadays,70.0,55,13
Nueva Vida,86.0,86,1
Nuketown,85.83333333333333,63,6
Numb,65.25925925925925,34,27
Numb Little Bug,41.09375,18,32
Numb Numb Juice,75.0,55,2
Numbers,49.666666666666664,23,3
O Let's Do It,82.0,62,11
OFF THE RIP,47.0,47,1
OK Not To Be OK,69.33333333333333,36,6
OKRA,89.0,89,1
OMDB,89.0,89,1
OMG,26.405405405405407,1,37
ON,36.0,4,2
OOOUUU,35.3,19,20
ORANGE SODA,99.33333333333333,98,3
OTW,82.76923076923077,57,26
Oak Island,71.5,48,2
Oath,80.66666666666667,70,3
Obsessed,57.27272727272727,14,11
Obvious,70.0,70,1
Ocean,80.77777777777777,46,9
Ocean Eyes,92.6,84,20
Ocean Spray,78.5,69,2
Oceans,83.0,83,1
Oceans (Where Feet May Fail),92.92307692307692,83,13
Odio,85.45454545454545,45,11
Off My Face,64.0,64,1
Off The Grid,55.0,11,4
Off The Table,65.0,35,2
Off White VLONE,54.0,54,1
Offended,70.0,70,1
Often,75.8,59,20
Oh Louisiana,70.0,70,1
Oh Love,98.5,97,4
Oh My,98.33333333333333,95,3
Oh My God,36.875,5,16
Oh Santa!,88.0,76,2
Oh Sweet Lorraine,42.0,42,1
Oh U Went,73.4,19,15
Ojitos Lindos,54.55,26,20
Ojos Ferrari,95.0,95,1
Ok Ok,38.5,12,2
Okay,83.42857142857143,58,7
Oki Doki,83.0,83,1
Oklahoma Smokeshow,86.0,72,20
Oklahoman Son,67.5,47,2
Old Alabama,64.85,38,20
Old Days,62.0,62,1
Old Man,63.0,63,1
